trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-120.1630402324654,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-123.86157593341366,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-84.04737080331232,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-102.76521858854794,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-22.384924998962653,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-61.93020451142089,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-128.72977961438892,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-86.09827915184361,"{0: 16, 1: 3, 2: 4, 3: 2, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-33.99228635686934,"{0: 20, 1: 2, 2: 1, 3: 2, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-51.66833898234213,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-117.68746542259204,"{0: 17, 1: 2, 2: 1, 3: 4, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-23.912530338838803,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-4.769230603394805,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-4.273773377999987,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-48.38260271570286,"{0: 16, 1: 1, 2: 0, 3: 3, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-104.39289356021902,"{0: 20, 1: 0, 2: 0, 3: 4, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-20.211885438840685,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,0,0.6107185727388476,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-39.88202097008175,"{0: 22, 1: 0, 2: 0, 3: 3, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,2.439085535793274,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,0,-24.18790067331989,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,0,-57.52690555969469,"{0: 16, 1: 0, 2: 0, 3: 4, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,0,3.2049178682031885,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",25,0,-84.66205049473717,"{0: 20, 1: 0, 2: 0, 3: 5, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",25,0,28.809969809152545,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",25,0,13.870531401153434,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",30,0,34.5338962306109,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,0,-2.1668872487210167,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,0,-26.35130495312732,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",25,0,6.021774588344363,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
