trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9, 'e': 0.99104037877288365}",20,0,-85.77352930610674,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
2,False,"{'a': 0.9, 'e': 0.98216103235830077}",20,0,-65.15049925516429,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
3,False,"{'a': 0.9, 'e': 0.97336124152433678}",20,0,-164.2778704917186,"{0: 9, 1: 1, 2: 7, 3: 1, 4: 2}",0
4,False,"{'a': 0.9, 'e': 0.96464029348312308}",25,0,-156.7086139642341,"{0: 14, 1: 3, 2: 4, 3: 2, 4: 2}",0
5,False,"{'a': 0.9, 'e': 0.95599748183309996}",30,0,-194.3240600784054,"{0: 18, 1: 3, 2: 4, 3: 2, 4: 3}",0
6,False,"{'a': 0.9, 'e': 0.94743210650179832}",25,0,-214.38790165507626,"{0: 16, 1: 0, 2: 3, 3: 2, 4: 4}",0
7,False,"{'a': 0.9, 'e': 0.93894347368913322}",25,0,-116.27571757008637,"{0: 13, 1: 2, 2: 8, 3: 2, 4: 0}",0
8,False,"{'a': 0.9, 'e': 0.93053089581120574}",20,0,-91.10722643831187,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
9,False,"{'a': 0.9, 'e': 0.92219369144460805}",30,10,-48.72808943889345,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",1
10,False,"{'a': 0.9, 'e': 0.91393118527122819}",20,0,-49.95504461422311,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
11,False,"{'a': 0.9, 'e': 0.9057427080235485}",20,0,-100.16902720225312,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
12,False,"{'a': 0.9, 'e': 0.89762759643043488}",20,0,-31.882741582324876,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
13,False,"{'a': 0.9, 'e': 0.88958519316341134}",25,3,-28.089478502577403,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 0}",1
14,False,"{'a': 0.9, 'e': 0.88161484678341606}",25,0,-132.38464105153767,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
15,False,"{'a': 0.9, 'e': 0.87371591168803442}",20,3,-50.265505684333526,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 0}",1
16,False,"{'a': 0.9, 'e': 0.86588774805920499}",20,0,-139.36360125739705,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 2}",0
17,False,"{'a': 0.9, 'e': 0.8581297218113938}",25,8,-25.1725763652516,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 0}",1
