trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9, 'e': 1.0}",20,0,-143.3065206423672,"{0: 10, 1: 1, 2: 5, 3: 3, 4: 1}",0
2,False,"{'a': 0.9, 'e': 0.25}",20,7,-59.65797457225244,"{0: 7, 1: 0, 2: 5, 3: 1, 4: 0}",1
3,False,"{'a': 0.9, 'e': 0.1111111111111111}",20,0,-57.65308640668368,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
4,False,"{'a': 0.9, 'e': 0.0625}",25,0,-42.91538190138037,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
5,False,"{'a': 0.9, 'e': 0.04}",30,0,-131.2136761345651,"{0: 23, 1: 0, 2: 4, 3: 0, 4: 3}",0
6,False,"{'a': 0.9, 'e': 0.027777777777777776}",20,0,-46.57546633147373,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
7,False,"{'a': 0.9, 'e': 0.02040816326530612}",35,26,-40.925437219859425,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
8,False,"{'a': 0.9, 'e': 0.015625}",25,0,21.95392593010993,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
9,False,"{'a': 0.9, 'e': 0.012345679012345678}",20,0,-74.3106068688263,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
10,False,"{'a': 0.9, 'e': 0.01}",25,0,-42.766228580662755,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
11,False,"{'a': 0.9, 'e': 0.008264462809917356}",20,0,-67.89553946692963,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
12,False,"{'a': 0.9, 'e': 0.006944444444444444}",25,0,-5.043300703669668,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
13,False,"{'a': 0.9, 'e': 0.005917159763313609}",25,18,12.950557883401784,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.9, 'e': 0.00510204081632653}",20,0,31.59413021733203,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.9, 'e': 0.0044444444444444444}",25,15,-40.21998794947614,"{0: 6, 1: 0, 2: 3, 3: 1, 4: 0}",1
16,False,"{'a': 0.9, 'e': 0.00390625}",20,6,-20.14877800778267,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
17,False,"{'a': 0.9, 'e': 0.0034602076124567475}",25,17,14.090371677179228,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.9, 'e': 0.0030864197530864196}",20,2,24.93722279170245,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.9, 'e': 0.002770083102493075}",25,7,27.542927427869127,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.9, 'e': 0.0025}",30,0,-15.020473468915027,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
21,False,"{'a': 0.9, 'e': 0.0022675736961451248}",30,7,35.22936273922786,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.9, 'e': 0.002066115702479339}",20,10,-23.041174960008473,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
23,False,"{'a': 0.9, 'e': 0.001890359168241966}",20,0,21.47488783285811,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
24,False,"{'a': 0.9, 'e': 0.001736111111111111}",20,0,27.89165216620237,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
25,False,"{'a': 0.9, 'e': 0.0016}",20,0,-14.363615375517035,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
26,False,"{'a': 0.9, 'e': 0.0014792899408284023}",25,0,35.54672711193867,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
27,False,"{'a': 0.9, 'e': 0.0013717421124828531}",20,0,9.059983543623897,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
28,False,"{'a': 0.9, 'e': 0.0012755102040816326}",25,0,27.8608428305246,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
29,False,"{'a': 0.9, 'e': 0.0011890606420927466}",20,0,20.281506891446448,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
30,False,"{'a': 0.9, 'e': 0.0011111111111111111}",20,6,24.836110472630313,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.9, 'e': 0.001040582726326743}",20,13,13.004263561434955,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.9, 'e': 0.0009765625}",25,0,32.311403511692895,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
33,False,"{'a': 0.9, 'e': 0.0009182736455463728}",25,0,28.221486484295674,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
34,False,"{'a': 0.9, 'e': 0.0008650519031141869}",20,0,26.785097687794288,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
