trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9, 'e': 0.99104037877288365}",20,0,-125.5447422598423,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
2,False,"{'a': 0.9, 'e': 0.98216103235830077}",30,0,-107.52599535748557,"{0: 18, 1: 3, 2: 6, 3: 3, 4: 0}",0
3,False,"{'a': 0.9, 'e': 0.97336124152433678}",25,0,-130.73234592555974,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
4,False,"{'a': 0.9, 'e': 0.96464029348312308}",20,0,-113.1624263302712,"{0: 9, 1: 5, 2: 4, 3: 1, 4: 1}",0
5,False,"{'a': 0.9, 'e': 0.95599748183309996}",25,0,-88.59254486763274,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
6,False,"{'a': 0.9, 'e': 0.94743210650179832}",25,1,-116.3734179586174,"{0: 15, 1: 3, 2: 2, 3: 3, 4: 1}",1
7,False,"{'a': 0.9, 'e': 0.93894347368913322}",25,0,-132.91521162264215,"{0: 12, 1: 5, 2: 6, 3: 1, 4: 1}",0
8,False,"{'a': 0.9, 'e': 0.93053089581120574}",25,0,-158.18550409252552,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
9,False,"{'a': 0.9, 'e': 0.92219369144460805}",25,0,-143.28792513197405,"{0: 12, 1: 5, 2: 5, 3: 2, 4: 1}",0
10,False,"{'a': 0.9, 'e': 0.91393118527122819}",20,0,-84.75887949645318,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
11,False,"{'a': 0.9, 'e': 0.9057427080235485}",20,0,-59.80420242896664,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
12,False,"{'a': 0.9, 'e': 0.89762759643043488}",20,0,-124.22664069622618,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
13,False,"{'a': 0.9, 'e': 0.88958519316341134}",20,8,-79.32576897916353,"{0: 6, 1: 1, 2: 4, 3: 0, 4: 1}",1
14,False,"{'a': 0.9, 'e': 0.88161484678341606}",20,0,-77.98417247478672,"{0: 11, 1: 4, 2: 3, 3: 2, 4: 0}",0
15,False,"{'a': 0.9, 'e': 0.87371591168803442}",20,0,-64.72778975608854,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
16,False,"{'a': 0.9, 'e': 0.86588774805920499}",30,0,-106.76958766680164,"{0: 23, 1: 1, 2: 3, 3: 1, 4: 2}",0
17,False,"{'a': 0.9, 'e': 0.8581297218113938}",25,0,-110.96722171864364,"{0: 14, 1: 5, 2: 4, 3: 1, 4: 1}",0
18,False,"{'a': 0.9, 'e': 0.85044120454023298}",20,0,-152.18471572978365,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
19,False,"{'a': 0.9, 'e': 0.8428215734716199}",20,0,-164.64691527936856,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 3}",0
20,False,"{'a': 0.9, 'e': 0.835270211411272}",20,0,-139.22493638534152,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",20,0,-43.10747682625822,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,0,-104.2892810833833,"{0: 11, 1: 5, 2: 1, 3: 2, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",25,0,-124.79376720350862,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",25,0,-80.49652821010535,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",25,13,-40.06515128413902,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
6,True,"{'a': 0, 'e': 0}",25,0,-252.19884155069977,"{0: 6, 1: 3, 2: 12, 3: 2, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",25,0,-110.89191166512171,"{0: 13, 1: 3, 2: 7, 3: 2, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",25,0,-220.99028246914614,"{0: 9, 1: 4, 2: 7, 3: 3, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",25,0,-162.0231545986685,"{0: 12, 1: 5, 2: 5, 3: 1, 4: 2}",0
10,True,"{'a': 0, 'e': 0}",25,0,-82.91465616220742,"{0: 15, 1: 6, 2: 3, 3: 0, 4: 1}",0
